"YEAR" "GLOBAL (PgC/y)" "NORTH (PgC/y)" "TROPICS (PgC/y)" "SOUTH (PgC/y)"
1949 -1.11796176433563 -0.0657708644866943 -0.922721207141876 -0.129469692707062
1950 0.459568947553635 0.16600526869297 0.389147460460663 -0.0955837666988373
1951 -0.82401031255722 -0.160526424646378 -0.511514246463776 -0.151969686150551
1952 -1.30710601806641 0.0615050047636032 -1.23098766803741 -0.137623399496078
1953 -0.52251535654068 0.263029277324677 -0.610049188137054 -0.175495430827141
1954 -0.534593045711517 0.179906278848648 -0.550244987010956 -0.164254307746887
1955 -0.234333798289299 -0.161633193492889 -0.0800290778279305 0.00732846790924668
1956 -0.015612524934113 -0.168204635381699 0.219717085361481 -0.0671249777078629
1957 -1.1424388885498 0.440742611885071 -1.3637797832489 -0.219401717185974
1958 -1.82175946235657 0.45526197552681 -2.09074783325195 -0.186273649334908
1959 -0.511563897132874 0.591930568218231 -0.932477414608002 -0.171017050743103
1960 -0.721204221248627 0.243381708860397 -0.827690243721008 -0.136895686388016
1961 -0.67064368724823 -0.0393214337527752 -0.526285409927368 -0.105036862194538
1962 -0.57168310880661 0.229317635297775 -0.596954941749573 -0.204045832157135
1963 -0.412542790174484 0.254862636327744 -0.784696221351624 0.117290832102299
1964 0.0696843191981316 0.737451910972595 -0.615214467048645 -0.0525531359016895
1965 -1.04644548892975 0.344030648469925 -1.16616582870483 -0.224310249090195
1966 -0.310659259557724 0.269039422273636 -0.484780430793762 -0.0949182361364365
1967 1.22140467166901 0.837521433830261 0.560396194458008 -0.176513016223907
1968 1.36052095890045 1.03986036777496 0.298577100038528 0.0220834594219923
1969 -0.88015341758728 0.703996002674103 -1.54960966110229 -0.0345397554337978
1970 -0.913626253604889 0.226505860686302 -0.990497171878815 -0.14963498711586
1971 1.41665184497833 0.342207580804825 1.11330223083496 -0.0388578623533249
1972 0.430724501609802 0.691749274730682 -0.140562757849693 -0.120462022721767
1973 1.22159421443939 1.08180034160614 -0.0322016887366772 0.171995609998703
1974 2.89062404632568 0.384452104568481 2.25530409812927 0.250867903232574
1975 1.44627583026886 0.38293582201004 0.981144666671753 0.0821953937411308
1976 2.09427976608276 1.25832319259644 0.826336920261383 0.00961955916136503
1977 1.4451516866684 1.16381168365479 0.442639350891113 -0.161299407482147
1978 1.3719220161438 0.84156346321106 0.495716333389282 0.0346422120928764
1979 0.592891693115234 1.00579142570496 -0.513284265995026 0.100384585559368
1980 -0.192837849259377 0.590931534767151 -0.60841965675354 -0.175349712371826
1981 2.10165357589722 1.09802448749542 0.925650894641876 0.077978141605854
1982 0.427361369132996 1.0504584312439 -0.453822076320648 -0.169274941086769
1983 -0.204655379056931 1.05664145946503 -1.35847210884094 0.0971753522753716
1984 1.35520195960999 0.608906209468842 0.554182648658752 0.19211308658123
1985 1.53960156440735 0.972858488559723 0.460492014884949 0.106251105666161
