1947,-0.28,-0.336,-0.005,0.126,-0.022,0.034,-0.048,0.077,0.077,0.373,0.083,-0.242
1947,30,30,30,30,30,30,30,30,30,30,30,30
1948,0.398,-0.092,-0.391,-0.019,0.131,0.112,-0.094,-0.046,0.023,0.111,0.012,-0.187
1948,31,31,31,31,31,31,31,31,31,31,31,31
1949,0.349,-0.311,-0.382,-0.106,-0.094,-0.214,-0.171,-0.056,-0.076,0.126,-0.016,-0.32
1949,31,31,31,31,31,32,31,31,31,32,32,32
1950,-0.567,-0.366,-0.241,-0.289,-0.149,-0.081,-0.218,-0.282,-0.126,-0.183,-0.647,-0.304
1950,32,32,32,33,32,32,32,33,33,32,33,32
1951,-0.537,-0.799,-0.438,-0.098,-0.026,-0.113,-0.068,0.102,0.19,0.143,-0.04,0.391
1951,36,36,36,36,36,36,36,36,36,36,36,36
1952,0.258,0.031,-0.423,-0.036,-0.054,-0.007,0.118,0.075,0.113,-0.148,-0.533,-0.223
1952,36,36,36,37,36,37,37,37,36,37,37,36
1953,0.13,0.162,0.189,0.183,0.05,0.174,-0.013,0.145,0.096,0.179,-0.134,0.234
1953,37,36,37,37,37,37,37,37,37,37,37,37
1954,-0.485,-0.204,-0.347,-0.183,-0.283,-0.087,-0.18,-0.056,0.002,0.072,0.234,-0.214
1954,37,37,37,37,37,37,38,37,37,37,37,37
1955,0.366,-0.14,-0.768,-0.355,-0.191,-0.102,-0.189,0.036,-0.03,-0.018,-0.39,-0.457
1955,38,38,38,38,38,38,38,38,38,38,38,38
1956,-0.333,-0.685,-0.553,-0.502,-0.404,-0.261,-0.268,-0.381,-0.39,-0.307,-0.489,-0.371
1956,38,38,38,38,38,38,38,38,38,38,38,38
1957,-0.256,-0.242,-0.454,-0.165,-0.132,0.042,-0.17,0.02,0.045,-0.085,0.122,0.311
1957,39,39,39,39,39,39,39,39,39,39,39,39
1958,0.445,0.214,-0.093,-0.001,0.023,-0.082,0,-0.057,-0.114,-0.009,0.066,0.003
1958,39,39,39,39,38,38,39,39,38,39,39,39
1959,0.106,0.07,0.199,0.057,-0.123,0.106,0.044,0.014,0.045,-0.148,-0.173,-0.009
1959,39,39,39,39,39,39,39,39,39,39,39,39
1960,0.025,0.356,-0.659,-0.297,-0.303,0.055,-0.086,-0.016,0.05,0.006,-0.206,0.3
1960,39,39,39,39,39,39,39,39,39,39,39,39
1961,0.073,0.255,0.101,0.102,0.085,0.082,-0.016,-0.012,0.049,-0.054,-0.002,-0.187
1961,40,40,40,40,40,40,40,40,40,40,40,40
1962,0.176,0.248,-0.029,0.04,-0.095,-0.149,-0.056,-0.068,-0.031,0.113,0.065,0.05
1962,40,40,40,40,40,40,40,40,40,40,40,40
1963,-0.095,0.365,-0.305,-0.223,-0.164,-0.126,0.049,0.038,0.138,0.381,0.273,-0.121
1963,41,41,41,41,41,41,41,40,41,40,40,40
1964,-0.033,-0.264,-0.481,-0.33,-0.167,-0.237,-0.196,-0.264,-0.267,-0.365,-0.275,-0.405
1964,41,41,41,41,41,41,41,40,40,41,41,41
1965,-0.06,-0.438,-0.286,-0.451,-0.239,-0.122,-0.289,-0.222,-0.197,-0.053,-0.231,-0.141
1965,41,41,41,41,41,41,41,41,41,41,41,41
